id,title,number,lon,lat,distance,image,street,housenumber,zip,city,freiplatzstatus/0/gueltigAb,freiplatzstatus/0/plaetzeVerfuegbar,freiplatzstatus/1/gueltigAb,freiplatzstatus/1/plaetzeVerfuegbar,freiplatzstatus/2/gueltigAb,freiplatzstatus/2/plaetzeVerfuegbar,freiplatzstatus/3/gueltigAb,freiplatzstatus/3/plaetzeVerfuegbar,freiplatzstatus/4/gueltigAb,freiplatzstatus/4/plaetzeVerfuegbar,freiplatzstatus/5/gueltigAb,freiplatzstatus/5/plaetzeVerfuegbar,freiplatzstatus/6/gueltigAb,freiplatzstatus/6/plaetzeVerfuegbar,freiplatzstatus/7/gueltigAb,freiplatzstatus/7/plaetzeVerfuegbar,freiplatzstatus/8/gueltigAb,freiplatzstatus/8/plaetzeVerfuegbar
824229,Freude Kita Köpenick,09161270,13.584717426283566,52.44140298312295,14.03,/fallback_einrichtung_vorschau.jpg,Müggelheimer Str.,22,12555,Berlin,2022-06-01,false,2022-07-01,false,2022-08-01,true,2022-09-01,true,2022-10-01,true,2022-11-01,true,2022-12-01,true,2023-01-01,true,2023-02-01,true
1531,EKT - Oscar,05080870,13.210030688110907,52.54876467310494,14.04,/fallback_einrichtung_vorschau.jpg,Neuendorfer Str.,73,13585,Berlin,2022-05-01,false,2022-06-01,false,2022-07-01,false,2022-08-01,false,2022-09-01,false,2022-10-01,false,2022-11-01,false,2022-12-01,false,2023-01-01,false
261129,Kita Windlicht,10210210,13.579928553934566,52.56715342299528,14.05,/fallback_einrichtung_vorschau.jpg,Golliner Str.,4,12689,Berlin,2022-05-01,false,2022-06-01,false,2022-07-01,false,2022-08-01,false,2022-09-01,false,2022-10-01,false,2022-11-01,false,2022-12-01,false,2023-01-01,false
390329,Krippe Melanchthon,05081750,13.197587598955856,52.52188607890621,14.05,/bilder/einrichtungsvorschau/390329,Pichelsdorfer Str.,79,13595,Berlin,2022-06-01,false,2022-07-01,false,2022-08-01,true,2022-09-01,true,2022-10-01,true,2022-11-01,true,2022-12-01,true,2023-01-01,true,2023-02-01,true
807229,Kita Silberflöte,05082050,13.197000790708048,52.51987387410912,14.06,/fallback_einrichtung_vorschau.jpg,Pichelsdorfer Str.,65,13595,Berlin,2022-06-01,true,2022-07-01,true,2022-08-01,true,2022-09-01,true,2022-10-01,true,2022-11-01,true,2022-12-01,true,2023-01-01,true,2023-02-01,true
1085229,Kita Piccola,05082380,13.197305026180414,52.521155276174504,14.06,/fallback_einrichtung_vorschau.jpg,Adamstr.,2,13595,Berlin,2022-06-01,false,2022-07-01,false,2022-08-01,true,2022-09-01,true,2022-10-01,true,2022-11-01,true,2022-12-01,true,2023-01-01,true,2023-02-01,true
1935,Kita Sonnenschein,09150750,13.525783101289402,52.39975914714194,14.06,/bilder/einrichtungsvorschau/1935,Uranusstr.,19,12524,Berlin,2022-05-01,true,2022-06-01,true,2022-07-01,true,2022-08-01,true,2022-09-01,true,2022-10-01,true,2022-11-01,true,2022-12-01,true,2023-01-01,true
1760,EKT Oscar,05080730,13.210028046504222,52.54915575286503,14.06,/fallback_einrichtung_vorschau.jpg,Neuendorfer Str.,72,13585,Berlin,2022-05-01,false,2022-06-01,false,2022-07-01,false,2022-08-01,true,2022-09-01,true,2022-10-01,true,2022-11-01,true,2022-12-01,true,2023-01-01,true
619229,Kita KINDERPLANET,10231120,13.60380893718706,52.53301254647952,14.06,/fallback_einrichtung_vorschau.jpg,Stollberger Str.,61,12627,Berlin,2022-06-01,false,2022-07-01,false,2022-08-01,true,2022-09-01,true,2022-10-01,true,2022-11-01,true,2022-12-01,true,2023-01-01,true,2023-02-01,true
1230,Kita Krümelnest,09150130,13.53877666275205,52.405954407957466,14.07,/bilder/einrichtungsvorschau/1230,Tiburtiusstr.,14,12524,Berlin,2022-05-01,false,2022-06-01,false,2022-07-01,false,2022-08-01,true,2022-09-01,true,2022-10-01,true,2022-11-01,true,2022-12-01,true,2023-01-01,true
896229,Die Drei Affen 2,09161350,13.582447322379616,52.43805451974738,14.08,/fallback_einrichtung_vorschau.jpg,Wendenschloßstr.,143,12557,Berlin,2022-06-01,true,2022-07-01,true,2022-08-01,true,2022-09-01,true,2022-10-01,true,2022-11-01,true,2022-12-01,true,2023-01-01,true,2023-02-01,true
870229,Kita Zauberwiese,10231300,13.608839683885904,52.48424330350234,14.1,/fallback_einrichtung_vorschau.jpg,Bütower Str.,8,12623,Berlin,2022-06-01,false,2022-07-01,false,2022-08-01,false,2022-09-01,false,2022-10-01,false,2022-11-01,false,2022-12-01,false,2023-01-01,false,2023-02-01,false
1752,EKT - Krowelstr.,05080620,13.19798623911879,52.525651416482454,14.1,/fallback_einrichtung_vorschau.jpg,Krowelstr.,33,13581,Berlin,2022-05-01,false,2022-06-01,false,2022-07-01,false,2022-08-01,true,2022-09-01,true,2022-10-01,true,2022-11-01,true,2022-12-01,true,2023-01-01,true
2731,Kita Breitensteinweg,06100860,13.257355242836539,52.41056982570677,14.1,/fallback_einrichtung_vorschau.jpg,Breitensteinweg,33,14165,Berlin,2022-05-01,true,2022-06-01,true,2022-07-01,true,2022-08-01,true,2022-09-01,true,2022-10-01,true,2022-11-01,true,2022-12-01,true,2023-01-01,true
1066229,Kita Schatzkiste,05082350,13.196641101336757,52.521170334837805,14.1,/fallback_einrichtung_vorschau.jpg,Adamstr.,4,13595,Berlin,2022-06-01,false,2022-07-01,false,2022-08-01,true,2022-09-01,true,2022-10-01,true,2022-11-01,true,2022-12-01,true,2023-01-01,true,2023-02-01,true
